epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.50035,2.48814,0.16981,0.73585,2.13238,0.00015708,0.00015708,0.00015708
2,4.00856,2.02466,0.58491,0.92453,1.59629,0.000318119,0.000318119,0.000318119
3,5.47454,1.591,0.56604,0.96226,1.26504,0.000475907,0.000475907,0.000475907
4,6.98765,1.27914,0.71698,0.98113,0.8631,0.000630443,0.000630443,0.000630443
5,8.54032,1.0319,0.77358,0.98113,0.73971,0.000685726,0.000685726,0.000685726
6,10.0575,0.76125,0.83019,0.98113,0.54856,0.000678657,0.000678657,0.000678657
7,11.533,0.62938,0.88679,0.98113,0.41179,0.000671588,0.000671588,0.000671588
8,12.9535,0.43635,0.90566,0.98113,0.39254,0.00066452,0.00066452,0.00066452
9,14.2907,0.32346,0.88679,0.96226,0.28457,0.000657451,0.000657451,0.000657451
10,15.7292,0.34815,0.83019,0.96226,0.3648,0.000650383,0.000650383,0.000650383
11,17.09,0.34556,0.84906,0.9434,0.2962,0.000643314,0.000643314,0.000643314
12,18.3666,0.18715,0.86792,1,0.51533,0.000636245,0.000636245,0.000636245
13,19.6153,0.19281,0.90566,1,0.34637,0.000629177,0.000629177,0.000629177
14,20.9472,0.2062,0.88679,1,0.34754,0.000622108,0.000622108,0.000622108
15,22.2396,0.18002,0.88679,0.98113,0.22599,0.00061504,0.00061504,0.00061504
16,23.5984,0.18712,0.90566,0.98113,0.23416,0.000607971,0.000607971,0.000607971
17,24.9258,0.22423,0.90566,1,0.25927,0.000600902,0.000600902,0.000600902
18,26.2757,0.12828,0.88679,0.98113,0.2698,0.000593834,0.000593834,0.000593834
19,27.6302,0.14136,0.86792,0.98113,0.46325,0.000586765,0.000586765,0.000586765
20,29.0258,0.16449,0.84906,1,0.46502,0.000579697,0.000579697,0.000579697
21,30.358,0.17038,0.84906,1,0.44979,0.000572628,0.000572628,0.000572628
22,31.6228,0.12987,0.86792,1,0.37079,0.000565559,0.000565559,0.000565559
23,32.9175,0.11869,0.86792,1,0.32651,0.000558491,0.000558491,0.000558491
24,34.2303,0.13561,0.88679,0.96226,0.36432,0.000551422,0.000551422,0.000551422
25,35.5011,0.08648,0.90566,0.96226,0.36373,0.000544354,0.000544354,0.000544354
26,36.8193,0.11328,0.90566,0.96226,0.42517,0.000537285,0.000537285,0.000537285
27,38.1547,0.09218,0.86792,0.96226,0.50023,0.000530216,0.000530216,0.000530216
28,39.4153,0.13856,0.84906,0.96226,0.61195,0.000523148,0.000523148,0.000523148
29,40.7547,0.17234,0.86792,0.96226,0.61096,0.000516079,0.000516079,0.000516079
30,42.1295,0.07826,0.86792,0.96226,0.49765,0.000509011,0.000509011,0.000509011
31,43.3503,0.16269,0.88679,0.96226,0.38802,0.000501942,0.000501942,0.000501942
32,44.6931,0.06905,0.86792,0.96226,0.45979,0.000494873,0.000494873,0.000494873
33,45.9228,0.10389,0.86792,0.96226,0.47172,0.000487805,0.000487805,0.000487805
34,47.4255,0.11098,0.86792,0.96226,0.48416,0.000480736,0.000480736,0.000480736
35,48.7962,0.09154,0.88679,0.98113,0.60871,0.000473668,0.000473668,0.000473668
36,50.1228,0.10155,0.84906,0.98113,0.40083,0.000466599,0.000466599,0.000466599
