epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.74766,1.65122,0.21429,1,1.66279,5.555e-05,5.555e-05,5.555e-05
2,12.3095,1.73986,0.28571,1,1.57898,0.000121202,0.000121202,0.000121202
3,12.8632,1.51763,0.35714,1,1.45484,0.000185754,0.000185754,0.000185754
4,13.3957,1.5408,0.5,1,1.34835,0.000249206,0.000249206,0.000249206
5,13.9465,1.31979,0.57143,1,1.25327,0.000311558,0.000311558,0.000311558
6,14.5201,1.11273,0.64286,1,1.16085,0.00037281,0.00037281,0.00037281
7,15.098,1.05803,0.85714,1,1.01419,0.000432962,0.000432962,0.000432962
8,15.6301,0.96226,0.85714,1,0.93886,0.000492015,0.000492015,0.000492015
9,16.3273,0.88684,0.85714,1,0.8593,0.000549967,0.000549967,0.000549967
10,16.8774,0.72576,0.85714,1,0.71345,0.00060682,0.00060682,0.00060682
11,17.3871,0.74257,0.92857,1,0.62129,0.000662573,0.000662573,0.000662573
12,17.9347,0.5281,0.85714,1,0.55497,0.000717225,0.000717225,0.000717225
13,18.4259,0.55814,0.85714,1,0.46727,0.000770778,0.000770778,0.000770778
14,18.9174,0.37567,0.78571,1,0.42005,0.000823232,0.000823232,0.000823232
15,19.3866,0.48793,0.78571,1,0.42005,0.000874585,0.000874585,0.000874585
16,19.9169,0.43626,0.85714,1,0.33278,0.000924838,0.000924838,0.000924838
17,20.4412,0.53644,0.85714,1,0.32398,0.000964348,0.000964348,0.000964348
18,21.0323,0.17665,0.92857,1,0.28976,0.000955182,0.000955182,0.000955182
19,21.5749,0.19677,0.92857,1,0.28976,0.000946016,0.000946016,0.000946016
20,22.0836,0.44264,0.85714,1,0.32151,0.000936851,0.000936851,0.000936851
21,22.5769,0.21994,0.85714,1,0.3206,0.000927685,0.000927685,0.000927685
22,23.0801,0.20546,0.85714,1,0.37679,0.000918519,0.000918519,0.000918519
23,23.6242,0.12344,0.85714,1,0.37679,0.000909353,0.000909353,0.000909353
24,24.1492,0.13087,0.92857,1,0.30384,0.000900188,0.000900188,0.000900188
25,24.8138,0.12983,0.85714,1,0.32685,0.000891022,0.000891022,0.000891022
26,25.3384,0.17733,0.92857,1,0.34508,0.000881856,0.000881856,0.000881856
27,25.8799,0.04233,0.92857,1,0.34508,0.000872691,0.000872691,0.000872691
28,26.7706,0.34355,0.92857,1,0.41547,0.000863525,0.000863525,0.000863525
29,27.2649,0.30531,0.85714,1,0.34419,0.000854359,0.000854359,0.000854359
