epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,0.458094,0.81814,0.75,1,0.78869,1.667e-05,1.667e-05,1.667e-05
2,0.783688,0.72796,0.75,1,0.78637,4.95974e-05,4.95974e-05,4.95974e-05
3,1.19377,0.7678,0.75,1,0.77356,8.19747e-05,8.19747e-05,8.19747e-05
4,1.58789,0.79911,0.75,1,0.73641,0.000113802,0.000113802,0.000113802
5,1.89058,0.63212,0.75,1,0.66721,0.000145079,0.000145079,0.000145079
6,2.90131,0.61503,0.75,1,0.63524,0.000175806,0.000175806,0.000175806
7,3.49565,0.52003,0.5,1,0.61197,0.000205983,0.000205983,0.000205983
8,3.81997,0.45803,0.5,1,0.57849,0.00023561,0.00023561,0.00023561
9,4.46977,0.42601,0.5,1,0.55296,0.000264686,0.000264686,0.000264686
10,4.81507,0.39783,0.5,1,0.52174,0.000293213,0.000293213,0.000293213
11,5.13148,0.28963,0.5,1,0.50402,0.000321189,0.000321189,0.000321189
12,5.45144,0.27965,0.5,1,0.50402,0.000348616,0.000348616,0.000348616
13,5.80152,0.31225,0.75,1,0.45703,0.000375492,0.000375492,0.000375492
14,6.17348,0.23504,0.75,1,0.46509,0.000401818,0.000401818,0.000401818
15,6.50086,0.1685,0.75,1,0.46509,0.000427594,0.000427594,0.000427594
16,6.84147,0.07913,0.75,1,0.43727,0.00045282,0.00045282,0.00045282
17,7.18802,0.12483,0.75,1,0.44287,0.000477495,0.000477495,0.000477495
18,7.53201,0.09139,0.75,1,0.44287,0.000501621,0.000501621,0.000501621
19,7.89827,0.10703,0.75,1,0.46175,0.000525197,0.000525197,0.000525197
20,8.24649,0.05331,0.75,1,0.46175,0.000548222,0.000548222,0.000548222
21,8.62413,0.03318,0.5,1,0.5498,0.000570697,0.000570697,0.000570697
22,8.92332,0.03217,0.5,1,0.5498,0.000592623,0.000592623,0.000592623
23,9.25772,0.36138,0.5,1,0.57598,0.000613998,0.000613998,0.000613998
24,10.424,0.01614,0.5,1,0.57598,0.000634823,0.000634823,0.000634823
25,10.7469,0.0266,0.75,1,0.42386,0.000655098,0.000655098,0.000655098
26,11.0436,0.0205,0.75,1,0.42386,0.000674822,0.000674822,0.000674822
27,11.372,0.01757,0.75,1,0.42386,0.000693997,0.000693997,0.000693997
28,11.6993,0.04415,1,1,0.25366,0.000712622,0.000712622,0.000712622
29,11.9775,0.01468,1,1,0.25366,0.000730696,0.000730696,0.000730696
30,12.2785,0.00927,1,1,0.28355,0.00074822,0.00074822,0.00074822
31,12.5895,0.08085,1,1,0.28355,0.000765195,0.000765195,0.000765195
32,12.8777,0.00851,1,1,0.28355,0.000781619,0.000781619,0.000781619
33,13.206,0.16461,1,1,0.15301,0.000797493,0.000797493,0.000797493
34,13.5408,0.00933,1,1,0.15301,0.000812817,0.000812817,0.000812817
35,13.8695,0.00929,1,1,0.15301,0.00082759,0.00082759,0.00082759
36,14.3809,0.00767,1,1,0.10106,0.000841814,0.000841814,0.000841814
37,14.8892,0.0041,1,1,0.10106,0.000855488,0.000855488,0.000855488
38,15.4316,0.00129,1,1,0.10106,0.000868611,0.000868611,0.000868611
39,17.6887,0.00218,1,1,0.11194,0.000881185,0.000881185,0.000881185
40,18.2693,0.00437,1,1,0.11194,0.000893208,0.000893208,0.000893208
41,18.8213,0.00375,1,1,0.11194,0.000904681,0.000904681,0.000904681
42,19.1592,0.05379,1,1,0.07644,0.000915604,0.000915604,0.000915604
